2023-10-14 00:01:45,427 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: simacula, money exchange= 100
2023-10-14 00:01:45,439 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: motlomaythu, money exchange= -100
2023-10-14 00:01:45,448 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: simacula, money exchange= 100
2023-10-14 00:01:45,459 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: Boykinhcan7, money exchange= -100
2023-10-14 00:01:45,471 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: simacula, money exchange= 100
2023-10-14 00:01:46,340 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Charlotte00789, money exchange= -20000
2023-10-14 00:01:46,354 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: onggialang, money exchange= -50000
2023-10-14 00:01:46,367 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: dungthaydoi, money exchange= 68600
2023-10-14 00:01:47,352 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: mrculac88, money exchange= -100
2023-10-14 00:01:47,365 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: vam2012, money exchange= 98
2023-10-14 00:01:47,400 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: voi9nga, money exchange= -4000
2023-10-14 00:01:47,403 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Lkaudition, money exchange= -1000
2023-10-14 00:01:47,417 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: nhjnnee, money exchange= -2500
2023-10-14 00:01:47,420 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: xonefm1998, money exchange= 3920
2023-10-14 00:01:47,432 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: dongsuoy, money exchange= 3430
2023-10-14 00:01:48,345 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: lamviecquanquat453, money exchange= -14000
2023-10-14 00:01:48,358 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: yeuvjnnhjeu, money exchange= 13720
2023-10-14 00:01:48,396 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: taisaoxdimai, money exchange= -70000
2023-10-14 00:01:48,415 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: Quanrachdung, money exchange= 68600
2023-10-14 00:01:50,344 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: trangeck, money exchange= -60000
2023-10-14 00:01:50,358 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: saochilaycuaem, money exchange= 58800
2023-10-14 00:01:51,341 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: thickchoizizach, money exchange= -10000
2023-10-14 00:02:00,892 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: Sugarboy, money exchange= -20000
2023-10-14 00:02:00,906 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Tuongmoc, money exchange= 19600
2023-10-14 00:02:01,346 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: canhchuacaloc6, money exchange= -4000
2023-10-14 00:02:01,372 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: tranvannghia44, money exchange= 3920
2023-10-14 00:02:01,411 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: namconheo3, money exchange= -20
2023-10-14 00:02:01,422 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: simacula, money exchange= 20
2023-10-14 00:02:01,436 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: gaothettenem, money exchange= -20
2023-10-14 00:02:09,344 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: Metvaite789, money exchange= -40000
2023-10-14 00:02:09,351 | INFO  | pool-33-thread-8 | vbee Khong xu ly bot: bongstuyet, money exchange= -14000
2023-10-14 00:02:09,352 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: emxiinluon, money exchange= -2000
2023-10-14 00:02:09,379 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: pepun6445, money exchange= 1960
2023-10-14 00:02:09,383 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: HuynhAnhHN9x, money exchange= 13720
2023-10-14 00:02:14,394 | INFO  | pool-33-thread-3 | vbee Khong xu ly bot: vjnlaso1, money exchange= -40000
2023-10-14 00:02:14,409 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: tuantramidol, money exchange= 39200
2023-10-14 00:02:15,407 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: rongranlenmay, money exchange= -3500
2023-10-14 00:02:15,426 | INFO  | pool-33-thread-10 | vbee Khong xu ly bot: truongnhaytung2, money exchange= 3430
2023-10-14 00:02:15,905 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: congviecmoi, money exchange= -2000
2023-10-14 00:02:15,918 | INFO  | pool-33-thread-9 | vbee Khong xu ly bot: hoanghoan8877, money exchange= 1960
2023-10-14 00:02:16,347 | INFO  | pool-33-thread-6 | vbee Khong xu ly bot: nuocmangchua, money exchange= -2000
2023-10-14 00:02:28,343 | INFO  | pool-33-thread-4 | vbee Khong xu ly bot: Vusaukiu1994, money exchange= -5000
2023-10-14 00:02:28,360 | INFO  | pool-33-thread-7 | vbee Khong xu ly bot: NgocRosee6, money exchange= 4900
2023-10-14 00:02:29,351 | INFO  | pool-33-thread-5 | vbee Khong xu ly bot: lamviecquanquat453, money exchange= -4000
