26 Sep 2023 | 01:23:11,332 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:23:11,334 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:23:11,337 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:23:11,341 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:23:11,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:23:11,372 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:24:16,329 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:24:16,333 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:24:16,339 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:24:16,341 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:24:16,376 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:24:16,376 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:25:21,332 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:25:21,334 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:25:21,337 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:25:21,339 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:25:21,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:25:21,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:26:26,329 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:26:26,331 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:26:26,332 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:26:26,335 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:26:26,376 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:26:26,376 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:27:31,332 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:27:31,333 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:27:31,335 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:27:31,336 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:27:31,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 0
