14 Oct 2023, 00:00:15,373 , 1000,    1,      56,         Aubree,     100000,     XDDC<,                '0;0,00:00:15 14-10-2023
14 Oct 2023, 00:00:15,382 , 1000,    1,      56,      AlifRezki,       1000,     XDDC<,                '0;0,00:00:15 14-10-2023
14 Oct 2023, 00:00:15,672 , 1000,    1,      56,         Aubree,      10000,     XDDC<,                '0;0,00:00:15 14-10-2023
14 Oct 2023, 00:00:15,822 , 1000,    1,      56,         Aubree,       1000,     XDDC<,                '0;0,00:00:15 14-10-2023
14 Oct 2023, 00:00:25,425 , 1000,    1,      56,      Traangsoc,     595980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,435 , 1000,    1,      56,     Beauregard,     199980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,443 , 1000,    1,      56,   phunudamdang,     643500,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,453 , 1000,    1,      56,       Beaufort,     857340,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,462 , 1000,    1,      56,     hoilamgi99,      61380,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,471 , 1000,    1,      56,     happyday9x,     287100,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,478 , 1000,    1,      56,       Abella12,      21780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,489 , 1000,    1,      56,         Amarie,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,499 , 1000,    1,      56,    ngocthai728,     425700,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,506 , 1000,    1,      56,  Nguoitinhbian,    1451340,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,514 , 1000,    1,      56,        Adelynn,       3960,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,526 , 1000,    1,      56,      bimocsung,     201960,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,535 , 1000,    1,      56,   Songdemaquen,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,544 , 1000,    1,      56,   Cuoinamecuoi,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,553 , 1000,    1,      56,      hungcamap,     483120,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,563 , 1000,    1,      56,    Dieptit6996,     481140,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,571 , 1000,    1,      56,    hoacomay003,    1037520,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,578 , 1000,    1,      56,        Adriene,      21780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,586 , 1000,    1,      56,      Bellanita,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,595 , 1000,    1,      56,    truongdoptr,      21780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,602 , 1000,    1,      56,       Amarante,     877140,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,615 , 1000,    1,      56,   MrTimeNguyen,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,624 , 1000,    1,      56,       Bungbeng,     397980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,632 , 1000,    1,      56,      Corneille,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,646 , 1000,    1,      56,     Khongcotim,     439560,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,655 , 1000,    1,      56,       Sulynn93,     245520,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,662 , 1000,    1,      56,        Adorlee,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,672 , 1000,    1,      56,      EmiuBacHo,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,681 , 1000,    1,      56,    Ngoclan1085,     439560,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,689 , 1000,    1,      56,Tietkiemdiennuoc,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,697 , 1000,    1,      56,      Famicanxi,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,705 , 1000,    1,      56,    TrangChiaki,     417780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,715 , 1000,    1,      56,        Anniele,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,728 , 1000,    1,      56,ngockimngan1102,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,740 , 1000,    1,      56,     Linhcoffee,     397980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,750 , 1000,    1,      56,    Chevalierop,      21780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,759 , 1000,    1,      56,         Aubree,     877140,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,766 , 1000,    1,      56,  ngoclinhdt892,      21780,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,774 , 1000,    1,      56,       Algernon,    1094940,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,785 , 1000,    1,      56,         Adalyn,     900900,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,794 , 1000,    1,      56,      Matmocmun,       1980,     XDTT<,                   0,00:00:25 14-10-2023
14 Oct 2023, 00:00:25,802 , 1000,    1,      56,        pigless,      41580,     XDTT<,                   0,00:00:25 14-10-2023
